VoteKit PreferenceProfile
Candidates
(Kelly Doyle:Kelly ),(Eric Zimmerman:Eric Z),(Mike DiNapoli:Mike D),(Bob Callahan:Bob Ca),(Kevin Goldsmith:Kevin ),(Michael Trimble:Michae),(Chloe Mason:Chloe ),(Bob Weinstein:Bob We),(Tony Morse:Tony M),(Raquel Coyote:Raquel),(Lisa Freeman:Lisa F),(Eli Arnold:Eli Ar),(Ciatta R Thompson:Ciatta),(Tony Schwartz:Tony S),(Olivia Clark:Olivia),(Chad Lykins:Chad L),(Andra Vltavin:Andra ),(Joseph (Joe) Alfone:Joseph),(Patrick Cashman:Patric),(Mitch Green:Mitch ),(Sarah Silkie:Sarah ),(Chris Henry:Chris ),(Ben Hufford:Ben Hu),(Brandon Farley:Brando),(L Christopher Regis:L Chri),(John Toran:John T),(Moses Ross:Moses ),(Stanley Penkin:Stanle),(John J Goldsmith:John J),(Lee Odell:Lee Od)
Max Ranking Length
6
Includes Voter Set
False
=,=,=,=,=,=,=,=,=,=
&,{'Andra '},{'Sarah '},{'Chad L'},{'John T'},{'Tony M'},{'Chloe '},&,1/1,&
&,{'Andra '},{'Sarah '},{'Chad L'},{'Lisa F'},{'Mitch '},,&,2/1,&
&,{'Andra '},{'Sarah '},{'Chad L'},{'Mitch '},{'Ciatta'},{'Lisa F'},&,1/1,&
&,{'Andra '},{'Sarah '},{'Chad L'},{'Mitch '},{'Ciatta'},{'Tony M'},&,1/1,&
&,{'Andra '},{'Sarah '},{'Chad L'},{'Mitch '},{'Lisa F'},,&,1/1,&
&,{'Andra '},{'Sarah '},{'Chad L'},{'Mitch '},{'Olivia'},{'Moses '},&,2/1,&
&,{'Andra '},{'Sarah '},{'Chad L'},{'Olivia'},{'Bob We'},{'Mike D'},&,1/1,&
&,{'Andra '},{'Sarah '},{'Chad L'},{'Tony S'},{'Chris '},,&,1/1,&
&,{'Andra '},{'Sarah '},{'Chloe '},{'Chris '},{'Chad L'},{'Moses '},&,1/1,&
&,{'Andra '},{'Sarah '},{'Chloe '},{'Lisa F'},{'Michae'},{'Ciatta'},&,1/1,&
&,{'Andra '},{'Sarah '},{'Chloe '},{'Mitch '},{'Chad L'},,&,1/1,&
&,{'Andra '},{'Sarah '},{'Chloe '},{'Mitch '},{'Ciatta'},{'John T'},&,1/1,&
&,{'Andra '},{'Sarah '},{'Chloe '},{'Moses '},{'Michae'},,&,1/1,&
&,{'Andra '},{'Sarah '},{'Chris '},{'Bob We'},{'Lisa F'},{'John J'},&,1/1,&
&,{'Andra '},{'Sarah '},{'Chris '},{'Lisa F'},{'Michae'},{'Chad L'},&,1/1,&
&,{'Andra '},{'Sarah '},{'Chris '},{'Lisa F'},{'Moses '},{'Mitch '},&,1/1,&
&,{'Andra '},{'Sarah '},{'Chris '},{'Lisa F'},,,&,1/1,&
&,{'Andra '},{'Sarah '},{'Chris '},{'Mitch '},{'Mike D'},{'Joseph'},&,2/1,&
&,{'Andra '},{'Sarah '},{'Chris '},{'Olivia'},{'Lisa F'},{'Raquel'},&,1/1,&
&,{'Andra '},{'Sarah '},{'Chris '},{'Tony M'},{'Stanle'},{'Mike D'},&,1/1,&
&,{'Andra '},{'Sarah '},{'Chris '},,,,&,2/1,&
&,{'Andra '},{'Sarah '},{'Ciatta'},{'Ben Hu'},{'Joseph'},,&,1/1,&
&,{'Andra '},{'Sarah '},{'Ciatta'},{'Lisa F'},{'Olivia'},,&,1/1,&
&,{'Andra '},{'Sarah '},{'Ciatta'},{'Mike D'},{'Mitch '},,&,1/1,&
&,{'Andra '},{'Sarah '},{'Ciatta'},{'Olivia'},{'Kelly '},{'Chloe '},&,1/1,&
&,{'Andra '},{'Sarah '},{'Ciatta'},{'Olivia'},{'Mitch '},,&,1/1,&
&,{'Andra '},{'Sarah '},{'Eli Ar'},{'Lisa F'},{'Mitch '},{'Ciatta'},&,1/1,&
&,{'Andra '},{'Sarah '},{'Eric Z'},{'Tony M'},{'Mitch '},{'Eli Ar'},&,1/1,&
&,{'Andra '},{'Sarah '},{'Joseph'},{'Chad L'},{'Eric Z'},,&,1/1,&
&,{'Andra '},{'Sarah '},{'Joseph'},{'Lisa F'},,,&,1/1,&
&,{'Andra '},{'Sarah '},{'Kelly '},{'Lisa F'},{'Olivia'},{'Chloe '},&,1/1,&
&,{'Andra '},{'Sarah '},{'Kevin '},{'Lisa F'},{'Bob We'},{'Chloe '},&,1/1,&
&,{'Andra '},{'Sarah '},{'Kevin '},{'Lisa F'},{'Olivia'},{'Mitch '},&,1/1,&
&,{'Andra '},{'Sarah '},{'Kevin '},{'Mitch '},{'Lee Od'},{'Bob We'},&,1/1,&
&,{'Andra '},{'Sarah '},{'Kevin '},{'Mitch '},{'Michae'},{'Chloe '},&,1/1,&
&,{'Andra '},{'Sarah '},{'Lisa F'},{'Chad L'},{'Mitch '},{'Michae'},&,1/1,&
&,{'Andra '},{'Sarah '},{'Lisa F'},{'Chad L'},{'Mitch '},,&,1/1,&
&,{'Andra '},{'Sarah '},{'Lisa F'},{'Chad L'},{'Tony M'},{'Bob We'},&,1/1,&
&,{'Andra '},{'Sarah '},{'Lisa F'},{'Chris '},{'Chad L'},{'Olivia'},&,1/1,&
&,{'Andra '},{'Sarah '},{'Lisa F'},{'Chris '},{'Mitch '},{'Moses '},&,1/1,&
&,{'Andra '},{'Sarah '},{'Lisa F'},{'Ciatta'},{'Chloe '},{'Olivia'},&,1/1,&
&,{'Andra '},{'Sarah '},{'Lisa F'},{'Mitch '},{'Chad L'},,&,1/1,&
&,{'Andra '},{'Sarah '},{'Lisa F'},{'Mitch '},{'Chris '},{'Tony S'},&,1/1,&
&,{'Andra '},{'Sarah '},{'Lisa F'},{'Mitch '},{'Kevin '},{'Olivia'},&,1/1,&
&,{'Andra '},{'Sarah '},{'Lisa F'},{'Mitch '},{'Mike D'},,&,1/1,&
&,{'Andra '},{'Sarah '},{'Lisa F'},{'Mitch '},{'Moses '},{'Chad L'},&,1/1,&
&,{'Andra '},{'Sarah '},{'Lisa F'},{'Mitch '},,,&,3/1,&
&,{'Andra '},{'Sarah '},{'Lisa F'},{'Olivia'},{'Bob We'},{'Chad L'},&,1/1,&
&,{'Andra '},{'Sarah '},{'Lisa F'},{'Olivia'},{'Chloe '},{'Mike D'},&,1/1,&
&,{'Andra '},{'Sarah '},{'Lisa F'},{'Olivia'},{'Mike D'},{'John T'},&,1/1,&
&,{'Andra '},{'Sarah '},{'Lisa F'},{'Olivia'},{'Mitch '},{'Tony M'},&,1/1,&
&,{'Andra '},{'Sarah '},{'Lisa F'},{'Raquel'},{'Chloe '},{'Lee Od'},&,1/1,&
&,{'Andra '},{'Sarah '},{'Lisa F'},{'Tony M'},,,&,1/1,&
&,{'Andra '},{'Sarah '},{'Lisa F'},,,,&,1/1,&
&,{'Andra '},{'Sarah '},{'Michae'},{'Chloe '},{'Lisa F'},{'Ciatta'},&,2/1,&
&,{'Andra '},{'Sarah '},{'Michae'},{'Lisa F'},{'Chad L'},{'Mitch '},&,3/1,&
&,{'Andra '},{'Sarah '},{'Michae'},{'Mitch '},{'Lisa F'},{'Mike D'},&,1/1,&
&,{'Andra '},{'Sarah '},{'Mike D'},{'Chad L'},{'Lisa F'},{'Chloe '},&,1/1,&
&,{'Andra '},{'Sarah '},{'Mike D'},{'Chris '},{'Ciatta'},{'Lisa F'},&,1/1,&
&,{'Andra '},{'Sarah '},{'Mike D'},{'Chris '},{'Michae'},,&,1/1,&
&,{'Andra '},{'Sarah '},{'Mike D'},{'Lisa F'},{'Chad L'},{'Mitch '},&,1/1,&
&,{'Andra '},{'Sarah '},{'Mike D'},{'Lisa F'},{'Ciatta'},{'Joseph'},&,1/1,&
&,{'Andra '},{'Sarah '},{'Mike D'},{'Mitch '},{'Chris '},{'Moses '},&,2/1,&
&,{'Andra '},{'Sarah '},{'Mike D'},{'Olivia'},{'Eric Z'},{'Ben Hu'},&,1/1,&
&,{'Andra '},{'Sarah '},{'Mike D'},{'Tony M'},{'Chloe '},{'Lisa F'},&,1/1,&
&,{'Andra '},{'Sarah '},{'Mike D'},{'Tony M'},,,&,1/1,&
&,{'Andra '},{'Sarah '},{'Mike D'},{'Michae'},,,&,1/1,&
&,{'Andra '},{'Sarah '},{'Mike D'},,,,&,1/1,&
&,{'Andra '},{'Sarah '},{'Mitch '},{'Bob We'},{'Chad L'},{'Moses '},&,1/1,&
&,{'Andra '},{'Sarah '},{'Mitch '},{'Brando'},{'Stanle'},{'Chloe '},&,1/1,&
&,{'Andra '},{'Sarah '},{'Mitch '},{'Chad L'},{'Chris '},,&,1/1,&
&,{'Andra '},{'Sarah '},{'Mitch '},{'Chad L'},{'Lisa F'},{'Chris '},&,1/1,&
&,{'Andra '},{'Sarah '},{'Mitch '},{'Chad L'},{'Lisa F'},{'Eric Z'},&,1/1,&
&,{'Andra '},{'Sarah '},{'Mitch '},{'Chad L'},{'Stanle'},{'Chris '},&,1/1,&
&,{'Andra '},{'Sarah '},{'Mitch '},{'Chloe '},{'Ciatta'},{'Michae'},&,1/1,&
&,{'Andra '},{'Sarah '},{'Mitch '},{'Chloe '},{'Ciatta'},,&,1/1,&
&,{'Andra '},{'Sarah '},{'Mitch '},{'Chris '},{'Lisa F'},,&,1/1,&
&,{'Andra '},{'Sarah '},{'Mitch '},{'Chris '},{'Tony M'},{'Moses '},&,1/1,&
&,{'Andra '},{'Sarah '},{'Mitch '},{'Ciatta'},{'Lisa F'},{'Ben Hu'},&,1/1,&
&,{'Andra '},{'Sarah '},{'Mitch '},{'Kevin '},{'Chad L'},{'Bob We'},&,1/1,&
&,{'Andra '},{'Sarah '},{'Mitch '},{'Kevin '},{'Tony M'},{'Ciatta'},&,1/1,&
&,{'Andra '},{'Sarah '},{'Mitch '},{'Lisa F'},{'Chad L'},{'Olivia'},&,3/1,&
&,{'Andra '},{'Sarah '},{'Mitch '},{'Lisa F'},{'Ciatta'},{'Olivia'},&,1/1,&
&,{'Andra '},{'Sarah '},{'Mitch '},{'Lisa F'},{'Mike D'},,&,1/1,&
&,{'Andra '},{'Sarah '},{'Mitch '},{'Lisa F'},{'Stanle'},{'Chad L'},&,1/1,&
&,{'Andra '},{'Sarah '},{'Mitch '},{'Lisa F'},,,&,1/1,&
&,{'Andra '},{'Sarah '},{'Mitch '},{'Michae'},{'Olivia'},{'Moses '},&,1/1,&
&,{'Andra '},{'Sarah '},{'Mitch '},{'Mike D'},{'Chad L'},{'Chris '},&,1/1,&
&,{'Andra '},{'Sarah '},{'Mitch '},{'Stanle'},{'Moses '},{'Eric Z'},&,1/1,&
&,{'Andra '},{'Sarah '},{'Mitch '},{'Tony M'},{'Chloe '},,&,1/1,&
&,{'Andra '},{'Sarah '},{'Moses '},{'Chad L'},{'Mitch '},{'Lisa F'},&,1/1,&
&,{'Andra '},{'Sarah '},{'Moses '},{'Chloe '},{'Lisa F'},{'Mitch '},&,1/1,&
&,{'Andra '},{'Sarah '},{'Moses '},{'Lisa F'},{'Mitch '},{'Mike D'},&,1/1,&
&,{'Andra '},{'Sarah '},{'Moses '},,,,&,1/1,&
&,{'Andra '},{'Sarah '},{'Olivia'},{'Chad L'},,,&,1/1,&
&,{'Andra '},{'Sarah '},{'Olivia'},{'Chloe '},{'Ciatta'},{'Mitch '},&,1/1,&
&,{'Andra '},{'Sarah '},{'Olivia'},{'Ciatta'},{'Lisa F'},{'Joseph'},&,1/1,&
&,{'Andra '},{'Sarah '},{'Olivia'},{'Lisa F'},{'Ciatta'},{'Chloe '},&,1/1,&
&,{'Andra '},{'Sarah '},{'Olivia'},{'Lisa F'},{'Ciatta'},,&,1/1,&
&,{'Andra '},{'Sarah '},{'Olivia'},{'Tony M'},{'Mitch '},{'Moses '},&,1/1,&
&,{'Andra '},{'Sarah '},{'Raquel'},{'Chloe '},{'Olivia'},{'Kelly '},&,1/1,&
&,{'Andra '},{'Sarah '},{'Stanle'},{'Chloe '},{'Lisa F'},{'Chris '},&,1/1,&
&,{'Andra '},{'Sarah '},{'Stanle'},{'Kevin '},{'Lisa F'},,&,1/1,&
&,{'Andra '},{'Sarah '},{'Stanle'},{'Mitch '},{'Chad L'},,&,1/1,&
&,{'Andra '},{'Sarah '},{'Stanle'},{'Olivia'},{'Mitch '},,&,2/1,&
&,{'Andra '},{'Sarah '},{'Tony M'},{'Chad L'},{'Mitch '},{'Chris '},&,1/1,&
&,{'Andra '},{'Sarah '},{'Tony S'},{'Mitch '},,,&,1/1,&
&,{'Andra '},{'Sarah '},,,,,&,4/1,&
&,{'Andra '},{'Stanle'},{'Ben Hu'},{'Kevin '},{'Tony M'},{'Chad L'},&,2/1,&
&,{'Andra '},{'Stanle'},{'Bob Ca'},,,,&,1/1,&
&,{'Andra '},{'Stanle'},{'Chad L'},{'John T'},{'Kevin '},{'Mitch '},&,1/1,&
&,{'Andra '},{'Stanle'},{'Chad L'},{'Lisa F'},{'Chris '},{'Mitch '},&,1/1,&
&,{'Andra '},{'Stanle'},{'Chad L'},{'Michae'},{'Sarah '},{'Mike D'},&,1/1,&
&,{'Andra '},{'Stanle'},{'Chad L'},{'Mitch '},{'Kevin '},{'Chloe '},&,1/1,&
&,{'Andra '},{'Stanle'},{'Chloe '},{'Ciatta'},{'Sarah '},,&,1/1,&
&,{'Andra '},{'Stanle'},{'Ciatta'},{'Lisa F'},{'Mike D'},{'Chris '},&,2/1,&
&,{'Andra '},{'Stanle'},{'Ciatta'},{'Mike D'},,,&,1/1,&
&,{'Andra '},{'Stanle'},{'Ciatta'},{'Sarah '},{'Michae'},{'Chris '},&,1/1,&
&,{'Andra '},{'Stanle'},{'Eli Ar'},{'Chad L'},{'Sarah '},{'Chloe '},&,1/1,&
&,{'Andra '},{'Stanle'},{'John J'},{'Michae'},{'Sarah '},,&,1/1,&
&,{'Andra '},{'Stanle'},{'John T'},{'Olivia'},{'Sarah '},{'Lisa F'},&,1/1,&
&,{'Andra '},{'Stanle'},{'Mike D'},{'Ciatta'},{'Mitch '},,&,1/1,&
&,{'Andra '},{'Stanle'},{'Moses '},{'Chloe '},{'John T'},{'Chad L'},&,1/1,&
&,{'Andra '},{'Stanle'},{'Sarah '},{'Bob We'},{'Chad L'},{'Olivia'},&,1/1,&
&,{'Andra '},{'Stanle'},{'Tony M'},{'Chloe '},{'Sarah '},{'Michae'},&,1/1,&
&,{'Andra '},{'Tony M'},{'Ben Hu'},{'Eric Z'},{'Mitch '},{'John J'},&,2/1,&
&,{'Andra '},{'Tony M'},{'Bob We'},{'Sarah '},{'Olivia'},{'Ben Hu'},&,1/1,&
&,{'Andra '},{'Tony M'},{'Chad L'},{'Ben Hu'},{'Lisa F'},{'John T'},&,1/1,&
&,{'Andra '},{'Tony M'},{'Chad L'},{'Bob Ca'},{'Sarah '},{'Chris '},&,1/1,&
&,{'Andra '},{'Tony M'},{'Chad L'},{'Ciatta'},{'Kevin '},{'Joseph'},&,1/1,&
&,{'Andra '},{'Tony M'},{'Chad L'},{'Mitch '},{'Sarah '},{'Lisa F'},&,2/1,&
&,{'Andra '},{'Tony M'},{'Chloe '},{'Ciatta'},{'Lisa F'},{'Sarah '},&,1/1,&
&,{'Andra '},{'Tony M'},{'Chloe '},{'Ciatta'},{'Raquel'},{'Olivia'},&,1/1,&
&,{'Andra '},{'Tony M'},{'Chloe '},{'Ciatta'},{'Sarah '},{'Ben Hu'},&,1/1,&
&,{'Andra '},{'Tony M'},{'Chloe '},{'Moses '},{'Mike D'},{'Chris '},&,1/1,&
&,{'Andra '},{'Tony M'},{'Chloe '},{'Olivia'},{'Brando'},{'Lisa F'},&,1/1,&
&,{'Andra '},{'Tony M'},{'Chris '},{'Mitch '},{'Ciatta'},,&,1/1,&
&,{'Andra '},{'Tony M'},{'Ciatta'},{'Chad L'},{'Mitch '},{'Sarah '},&,1/1,&
&,{'Andra '},{'Tony M'},{'Ciatta'},{'Joseph'},{'Lisa F'},{'Olivia'},&,1/1,&
&,{'Andra '},{'Tony M'},{'Ciatta'},{'Olivia'},{'Moses '},{'Mike D'},&,1/1,&
&,{'Andra '},{'Tony M'},{'Ciatta'},{'Sarah '},{'Mitch '},{'Chad L'},&,1/1,&
&,{'Andra '},{'Tony M'},{'Ciatta'},{'Sarah '},{'Olivia'},{'Lisa F'},&,1/1,&
&,{'Andra '},{'Tony M'},{'Eli Ar'},{'Stanle'},{'Olivia'},{'Lisa F'},&,1/1,&
&,{'Andra '},{'Tony M'},{'Eric Z'},{'John T'},{'Chad L'},{'Olivia'},&,1/1,&
&,{'Andra '},{'Tony M'},{'Eric Z'},{'Lisa F'},{'John T'},{'Stanle'},&,1/1,&
&,{'Andra '},{'Tony M'},{'Eric Z'},{'Lisa F'},{'Mitch '},{'Chad L'},&,2/1,&
&,{'Andra '},{'Tony M'},{'John J'},{'Michae'},{'Chloe '},{'John T'},&,1/1,&
&,{'Andra '},{'Tony M'},{'Joseph'},{'Michae'},{'Kevin '},{'John T'},&,1/1,&
&,{'Andra '},{'Tony M'},{'Kevin '},{'Ciatta'},{'Lisa F'},{'Chris '},&,1/1,&
&,{'Andra '},{'Tony M'},{'Kevin '},{'Tony S'},{'L Chri'},{'Chad L'},&,1/1,&
&,{'Andra '},{'Tony M'},{'Kevin '},,,,&,1/1,&
&,{'Andra '},{'Tony M'},{'Lisa F'},{'Bob We'},{'Ciatta'},{'Chloe '},&,1/1,&
&,{'Andra '},{'Tony M'},{'Lisa F'},{'Moses '},{'Chad L'},{'Ben Hu'},&,1/1,&
&,{'Andra '},{'Tony M'},{'Lisa F'},,,,&,1/1,&
&,{'Andra '},{'Tony M'},{'Michae'},{'Lisa F'},{'Eric Z'},{'Olivia'},&,2/1,&
&,{'Andra '},{'Tony M'},{'Michae'},{'Lisa F'},,,&,1/1,&
&,{'Andra '},{'Tony M'},{'Michae'},{'Mike D'},,,&,1/1,&
&,{'Andra '},{'Tony M'},{'Michae'},,,,&,1/1,&
&,{'Andra '},{'Tony M'},{'Mitch '},{'Chad L'},{'Ciatta'},{'Olivia'},&,1/1,&
&,{'Andra '},{'Tony M'},{'Mitch '},{'Ciatta'},{'Lisa F'},{'Ben Hu'},&,1/1,&
&,{'Andra '},{'Tony M'},{'Mitch '},{'Kevin '},{'Ciatta'},{'Chad L'},&,2/1,&
&,{'Andra '},{'Tony M'},{'Mitch '},{'Lisa F'},{'Joseph'},{'Mike D'},&,1/1,&
&,{'Andra '},{'Tony M'},{'Mitch '},{'Sarah '},{'Moses '},{'Mike D'},&,1/1,&
&,{'Andra '},{'Tony M'},{'Olivia'},{'Eric Z'},,,&,2/1,&
&,{'Andra '},{'Tony M'},{'Olivia'},{'Lisa F'},{'Sarah '},{'Bob We'},&,1/1,&
&,{'Andra '},{'Tony M'},{'Raquel'},{'Eric Z'},{'Chad L'},{'Brando'},&,1/1,&
&,{'Andra '},{'Tony M'},{'Sarah '},{'Kevin '},{'Lisa F'},{'Moses '},&,1/1,&
&,{'Andra '},{'Tony M'},,,,,&,1/1,&
&,{'Andra '},{'Tony S'},{'Chris '},{'Moses '},{'Michae'},{'Chloe '},&,1/1,&
&,{'Andra '},{'Tony S'},{'Chris '},{'Moses '},{'Sarah '},{'Bob Ca'},&,1/1,&
&,{'Andra '},{'Tony S'},{'Lisa F'},{'Mitch '},{'Mike D'},{'Sarah '},&,1/1,&
&,{'Andra '},{'Tony S'},{'Mike D'},{'Michae'},,,&,1/1,&
&,{'Andra '},{'Tony S'},{'Mitch '},{'Lisa F'},{'Ben Hu'},,&,1/1,&
&,{'Andra '},{'Tony S'},{'Tony M'},{'Ciatta'},{'Chad L'},,&,1/1,&
&,{'Andra '},{'Tony M'},{'Kevin '},{'Lisa F'},,,&,1/1,&
&,{'Andra '},,,,,,&,52/1,&
&,{'Ben Hu'},{'Andra '},{'Chad L'},{'Brando'},{'Lisa F'},{'Sarah '},&,1/1,&
&,{'Ben Hu'},{'Andra '},{'Chloe '},{'Raquel'},{'Olivia'},{'Brando'},&,1/1,&
&,{'Ben Hu'},{'Andra '},{'Eric Z'},{'Lisa F'},{'Ciatta'},,&,1/1,&
&,{'Ben Hu'},{'Andra '},{'John T'},{'Chloe '},{'Bob Ca'},{'Tony M'},&,1/1,&
&,{'Ben Hu'},{'Andra '},{'John T'},{'Moses '},{'Sarah '},{'Chloe '},&,1/1,&
&,{'Ben Hu'},{'Andra '},{'Kevin '},{'Chloe '},{'Ciatta'},{'Olivia'},&,1/1,&
&,{'Ben Hu'},{'Andra '},{'Lisa F'},,,,&,1/1,&
&,{'Ben Hu'},{'Andra '},{'Tony M'},{'Lisa F'},{'Olivia'},{'Sarah '},&,1/1,&
&,{'Ben Hu'},,,,,,&,2/1,&
&,{'Ben Hu'},{'Olivia'},,,,,&,1/1,&
&,{'Ben Hu'},{'Bob Ca'},{'Bob We'},{'Chad L'},{'Chloe '},{'Ciatta'},&,1/1,&
&,{'Ben Hu'},{'Bob Ca'},{'Bob We'},{'Eli Ar'},{'Stanle'},{'Olivia'},&,1/1,&
&,{'Ben Hu'},{'Bob Ca'},{'Bob We'},{'Eric Z'},{'Olivia'},{'Eli Ar'},&,2/1,&
&,{'Ben Hu'},{'Bob Ca'},{'Bob We'},{'Lisa F'},,,&,1/1,&
&,{'Ben Hu'},{'Bob Ca'},{'Bob We'},{'Olivia'},{'Eli Ar'},{'Eric Z'},&,1/1,&
&,{'Ben Hu'},{'Bob Ca'},{'Bob We'},,,,&,3/1,&
&,{'Ben Hu'},{'Bob Ca'},{'Chloe '},{'Chad L'},{'Kevin '},{'Eli Ar'},&,1/1,&
&,{'Ben Hu'},{'Bob Ca'},{'Chloe '},{'Ciatta'},,,&,1/1,&
&,{'Ben Hu'},{'Bob Ca'},{'Chloe '},{'Lisa F'},{'Sarah '},,&,1/1,&
&,{'Ben Hu'},{'Bob Ca'},{'Eli Ar'},{'Bob We'},{'John T'},{'Chad L'},&,1/1,&
&,{'Ben Hu'},{'Bob Ca'},{'Eli Ar'},{'Kevin '},{'Eric Z'},{'Stanle'},&,1/1,&
&,{'Ben Hu'},{'Bob Ca'},{'Eli Ar'},{'Olivia'},{'Bob We'},,&,1/1,&
&,{'Ben Hu'},{'Bob Ca'},{'Eli Ar'},{'Stanle'},{'Bob We'},{'Mike D'},&,1/1,&
&,{'Ben Hu'},{'Bob Ca'},{'Eric Z'},{'Eli Ar'},{'Tony M'},{'Mitch '},&,2/1,&
&,{'Ben Hu'},{'Bob Ca'},{'Eric Z'},{'Mitch '},,,&,1/1,&
&,{'Ben Hu'},{'Bob Ca'},{'Eric Z'},{'Olivia'},{'Sarah '},{'Chad L'},&,1/1,&
&,{'Ben Hu'},{'Bob Ca'},{'John T'},{'Eli Ar'},{'Kevin '},{'Lee Od'},&,1/1,&
&,{'Ben Hu'},{'Bob Ca'},{'John T'},{'Eli Ar'},{'Kevin '},,&,1/1,&
&,{'Ben Hu'},{'Bob Ca'},{'John T'},{'Eli Ar'},,,&,1/1,&
&,{'Ben Hu'},{'Bob Ca'},{'Kevin '},{'Chad L'},{'Eli Ar'},{'Olivia'},&,6/1,&
&,{'Ben Hu'},{'Bob Ca'},{'Mike D'},{'Brando'},{'Bob We'},{'Olivia'},&,1/1,&
&,{'Ben Hu'},{'Bob Ca'},{'Mitch '},{'Chad L'},{'Eli Ar'},{'Stanle'},&,1/1,&
&,{'Ben Hu'},{'Bob Ca'},{'Mitch '},{'Eric Z'},{'Tony M'},{'Olivia'},&,1/1,&
&,{'Ben Hu'},{'Bob Ca'},{'Mitch '},{'Eric Z'},,,&,1/1,&
&,{'Ben Hu'},{'Bob Ca'},{'Olivia'},{'Bob We'},{'Eli Ar'},{'John T'},&,1/1,&
&,{'Ben Hu'},{'Bob Ca'},{'Olivia'},{'Chad L'},{'Kevin '},,&,1/1,&
&,{'Ben Hu'},{'Bob Ca'},{'Olivia'},{'Chad L'},,,&,1/1,&
&,{'Ben Hu'},{'Bob Ca'},{'Olivia'},{'Eli Ar'},{'Eric Z'},{'Mike D'},&,1/1,&
&,{'Ben Hu'},{'Bob Ca'},{'Olivia'},{'Eli Ar'},,,&,1/1,&
&,{'Ben Hu'},{'Bob Ca'},{'Olivia'},{'Eric Z'},{'Kelly '},,&,1/1,&
&,{'Ben Hu'},{'Bob Ca'},{'Olivia'},{'Eric Z'},{'Sarah '},{'Chad L'},&,1/1,&
&,{'Ben Hu'},{'Bob Ca'},{'Olivia'},{'Tony M'},{'Eric Z'},{'Bob We'},&,1/1,&
&,{'Ben Hu'},{'Bob Ca'},{'Sarah '},{'Mike D'},{'Chloe '},{'Lisa F'},&,1/1,&
&,{'Ben Hu'},{'Bob Ca'},{'Sarah '},,,,&,1/1,&
&,{'Ben Hu'},{'Bob Ca'},{'Tony M'},{'Eli Ar'},{'Kevin '},{'Ciatta'},&,1/1,&
&,{'Ben Hu'},{'Bob Ca'},{'Tony M'},{'Mitch '},{'Bob We'},,&,1/1,&
&,{'Ben Hu'},{'Bob Ca'},{'Tony M'},,,,&,1/1,&
&,{'Ben Hu'},{'Bob Ca'},,,,,&,5/1,&
&,{'Ben Hu'},{'Bob We'},{'Bob Ca'},{'Eric Z'},{'Olivia'},{'Eli Ar'},&,1/1,&
&,{'Ben Hu'},{'Bob We'},{'Bob Ca'},,,,&,1/1,&
&,{'Ben Hu'},{'Bob We'},{'Chad L'},{'Chris '},{'Ciatta'},{'Stanle'},&,1/1,&
&,{'Ben Hu'},{'Bob We'},{'Chad L'},{'Lisa F'},,,&,2/1,&
&,{'Ben Hu'},{'Bob We'},{'Chad L'},{'Olivia'},{'Stanle'},{'Eli Ar'},&,1/1,&
&,{'Ben Hu'},{'Bob We'},{'Chad L'},{'Stanle'},{'Olivia'},{'Eric Z'},&,1/1,&
&,{'Ben Hu'},{'Bob We'},{'Chad L'},{'Tony M'},{'Stanle'},,&,1/1,&
&,{'Ben Hu'},{'Bob We'},{'Chloe '},{'Lee Od'},{'L Chri'},{'Olivia'},&,1/1,&
&,{'Ben Hu'},{'Bob We'},{'Chloe '},{'Lee Od'},{'Olivia'},{'Eric Z'},&,1/1,&
&,{'Ben Hu'},{'Bob We'},{'Chris '},{'Eric Z'},{'Chad L'},{'Eli Ar'},&,1/1,&
&,{'Ben Hu'},{'Bob We'},{'Eli Ar'},{'Bob Ca'},{'Eric Z'},{'Sarah '},&,1/1,&
&,{'Ben Hu'},{'Bob We'},{'Eli Ar'},{'Chad L'},{'Eric Z'},{'Bob Ca'},&,1/1,&
&,{'Ben Hu'},{'Bob We'},{'Eli Ar'},{'Chad L'},{'Olivia'},{'Eric Z'},&,1/1,&
&,{'Ben Hu'},{'Bob We'},{'Eli Ar'},{'Chad L'},,,&,2/1,&
&,{'Ben Hu'},{'Bob We'},{'Eli Ar'},{'Eric Z'},{'Bob Ca'},{'Chris '},&,1/1,&
&,{'Ben Hu'},{'Bob We'},{'Eli Ar'},{'Eric Z'},{'John T'},{'Olivia'},&,1/1,&
&,{'Ben Hu'},{'Bob We'},{'Eli Ar'},{'Eric Z'},{'Olivia'},{'Chad L'},&,1/1,&
&,{'Ben Hu'},{'Bob We'},{'Eli Ar'},{'Eric Z'},{'Olivia'},{'Stanle'},&,2/1,&
&,{'Ben Hu'},{'Bob We'},{'Eli Ar'},{'Eric Z'},{'Stanle'},{'Olivia'},&,2/1,&
&,{'Ben Hu'},{'Bob We'},{'Eli Ar'},{'Eric Z'},,,&,6/1,&
&,{'Ben Hu'},{'Bob We'},{'Eli Ar'},{'John T'},{'Olivia'},,&,1/1,&
&,{'Ben Hu'},{'Bob We'},{'Eli Ar'},{'Mitch '},{'Eric Z'},{'Chad L'},&,1/1,&
&,{'Ben Hu'},{'Bob We'},{'Eli Ar'},{'Olivia'},,,&,4/1,&
